
----------------------------------
Learning...
298: cost=0.018425, w1=0.802987, w2=0.104711
299: cost=0.018289, w1=0.803716, w2=0.104323
300: cost=0.018154, w1=0.804443, w2=0.103937
301: cost=0.018020, w1=0.805167, w2=0.103553
302: cost=0.017887, w1=0.805888, w2=0.103169
303: cost=0.017754, w1=0.806606, w2=0.102787
304: cost=0.017623, w1=0.807322, w2=0.102407
305: cost=0.017493, w1=0.808035, w2=0.102028
306: cost=0.017364, w1=0.808746, w2=0.101650
307: cost=0.017235, w1=0.809454, w2=0.101274
308: cost=0.017108, w1=0.810159, w2=0.100899
309: cost=0.016982, w1=0.810862, w2=0.100526
310: cost=0.016856, w1=0.811562, w2=0.100154
311: cost=0.016732, w1=0.812259, w2=0.099783
312: cost=0.016608, w1=0.812954, w2=0.099414
313: cost=0.016485, w1=0.813647, w2=0.099046
314: cost=0.016363, w1=0.814336, w2=0.098679
315: cost=0.016243, w1=0.815024, w2=0.098314
316: cost=0.016123, w1=0.815708, w2=0.097950
317: cost=0.016003, w1=0.816390, w2=0.097587
318: cost=0.015885, w1=0.817070, w2=0.097226
319: cost=0.015768, w1=0.817747, w2=0.096866
320: cost=0.015651, w1=0.818422, w2=0.096508
321: cost=0.015536, w1=0.819094, w2=0.096150
322: cost=0.015421, w1=0.819763, w2=0.095794
323: cost=0.015307, w1=0.820431, w2=0.095440
324: cost=0.015194, w1=0.821095, w2=0.095087
325: cost=0.015082, w1=0.821757, w2=0.094735
326: cost=0.014970, w1=0.822417, w2=0.094384
327: cost=0.014859, w1=0.823074, w2=0.094035
328: cost=0.014750, w1=0.823729, w2=0.093687
329: cost=0.014641, w1=0.824382, w2=0.093340
330: cost=0.014532, w1=0.825032, w2=0.092994
331: cost=0.014425, w1=0.825679, w2=0.092650
332: cost=0.014319, w1=0.826325, w2=0.092307
333: cost=0.014213, w1=0.826967, w2=0.091966
334: cost=0.014108, w1=0.827608, w2=0.091625
335: cost=0.014003, w1=0.828246, w2=0.091286
336: cost=0.013900, w1=0.828882, w2=0.090948
337: cost=0.013797, w1=0.829515, w2=0.090611
338: cost=0.013695, w1=0.830146, w2=0.090276
339: cost=0.013594, w1=0.830775, w2=0.089942
340: cost=0.013494, w1=0.831401, w2=0.089609
341: cost=0.013394, w1=0.832025, w2=0.089277
342: cost=0.013295, w1=0.832647, w2=0.088947
343: cost=0.013197, w1=0.833267, w2=0.088618
344: cost=0.013099, w1=0.833884, w2=0.088290
345: cost=0.013002, w1=0.834499, w2=0.087963
346: cost=0.012906, w1=0.835111, w2=0.087637
347: cost=0.012811, w1=0.835721, w2=0.087313
348: cost=0.012716, w1=0.836330, w2=0.086990
349: cost=0.012622, w1=0.836935, w2=0.086668
350: cost=0.012529, w1=0.837539, w2=0.086347
351: cost=0.012437, w1=0.838140, w2=0.086027
352: cost=0.012345, w1=0.838739, w2=0.085709
353: cost=0.012253, w1=0.839336, w2=0.085392
354: cost=0.012163, w1=0.839931, w2=0.085076
355: cost=0.012073, w1=0.840523, w2=0.084761
356: cost=0.011984, w1=0.841114, w2=0.084447
357: cost=0.011895, w1=0.841702, w2=0.084134
358: cost=0.011807, w1=0.842288, w2=0.083823
359: cost=0.011720, w1=0.842871, w2=0.083513
360: cost=0.011634, w1=0.843453, w2=0.083204
361: cost=0.011548, w1=0.844033, w2=0.082896
362: cost=0.011462, w1=0.844610, w2=0.082589
363: cost=0.011378, w1=0.845185, w2=0.082283
364: cost=0.011293, w1=0.845758, w2=0.081978
365: cost=0.011210, w1=0.846329, w2=0.081675
366: cost=0.011127, w1=0.846898, w2=0.081373
367: cost=0.011045, w1=0.847465, w2=0.081072
368: cost=0.010963, w1=0.848029, w2=0.080771
369: cost=0.010882, w1=0.848592, w2=0.080472
370: cost=0.010802, w1=0.849152, w2=0.080175
371: cost=0.010722, w1=0.849710, w2=0.079878
372: cost=0.010643, w1=0.850267, w2=0.079582
373: cost=0.010564, w1=0.850821, w2=0.079288
374: cost=0.010486, w1=0.851373, w2=0.078994
375: cost=0.010409, w1=0.851923, w2=0.078702
376: cost=0.010332, w1=0.852471, w2=0.078410
377: cost=0.010255, w1=0.853017, w2=0.078120
378: cost=0.010180, w1=0.853561, w2=0.077831
379: cost=0.010104, w1=0.854103, w2=0.077543
380: cost=0.010030, w1=0.854643, w2=0.077256
381: cost=0.009956, w1=0.855182, w2=0.076970
382: cost=0.009882, w1=0.855718, w2=0.076685
383: cost=0.009809, w1=0.856252, w2=0.076401
384: cost=0.009737, w1=0.856784, w2=0.076118
385: cost=0.009665, w1=0.857314, w2=0.075837
386: cost=0.009593, w1=0.857842, w2=0.075556
387: cost=0.009522, w1=0.858368, w2=0.075276
388: cost=0.009452, w1=0.858892, w2=0.074998
389: cost=0.009382, w1=0.859415, w2=0.074720
390: cost=0.009313, w1=0.859935, w2=0.074444
391: cost=0.009244, w1=0.860453, w2=0.074168
392: cost=0.009176, w1=0.860970, w2=0.073893
393: cost=0.009108, w1=0.861485, w2=0.073620
394: cost=0.009041, w1=0.861997, w2=0.073347
395: cost=0.008974, w1=0.862508, w2=0.073076
396: cost=0.008907, w1=0.863017, w2=0.072805
397: cost=0.008842, w1=0.863524, w2=0.072536
398: cost=0.008776, w1=0.864029, w2=0.072267
399: cost=0.008711, w1=0.864533, w2=0.072000
400: cost=0.008647, w1=0.865034, w2=0.071733
401: cost=0.008583, w1=0.865534, w2=0.071468
402: cost=0.008520, w1=0.866031, w2=0.071203
403: cost=0.008457, w1=0.866527, w2=0.070940
404: cost=0.008394, w1=0.867021, w2=0.070677
405: cost=0.008332, w1=0.867513, w2=0.070416
406: cost=0.008271, w1=0.868004, w2=0.070155
407: cost=0.008210, w1=0.868492, w2=0.069895
408: cost=0.008149, w1=0.868979, w2=0.069637
409: cost=0.008089, w1=0.869464, w2=0.069379
410: cost=0.008029, w1=0.869947, w2=0.069122
411: cost=0.007970, w1=0.870429, w2=0.068866
412: cost=0.007911, w1=0.870908, w2=0.068611
413: cost=0.007852, w1=0.871386, w2=0.068357
414: cost=0.007794, w1=0.871862, w2=0.068104
415: cost=0.007737, w1=0.872336, w2=0.067852
416: cost=0.007680, w1=0.872809, w2=0.067601
417: cost=0.007623, w1=0.873280, w2=0.067351
418: cost=0.007566, w1=0.873749, w2=0.067102
419: cost=0.007511, w1=0.874216, w2=0.066853
420: cost=0.007455, w1=0.874682, w2=0.066606
421: cost=0.007400, w1=0.875145, w2=0.066359
422: cost=0.007345, w1=0.875608, w2=0.066114
423: cost=0.007291, w1=0.876068, w2=0.065869
424: cost=0.007237, w1=0.876527, w2=0.065625
425: cost=0.007184, w1=0.876984, w2=0.065382
426: cost=0.007131, w1=0.877439, w2=0.065140
427: cost=0.007078, w1=0.877893, w2=0.064899
428: cost=0.007026, w1=0.878345, w2=0.064659
429: cost=0.006974, w1=0.878795, w2=0.064420
430: cost=0.006922, w1=0.879244, w2=0.064181
431: cost=0.006871, w1=0.879691, w2=0.063944
432: cost=0.006820, w1=0.880136, w2=0.063707
433: cost=0.006770, w1=0.880580, w2=0.063471
